# Mars Rover
id, NOC, NOM, LOC, CC, CCmax, rating, reviewers, disagreement
10002E, 21, 83, 625, 186, 31, 2.0, 1, 0
1001B2, 17, 55, 437, 145, 12, 1, 1, 0
1009FE, 33, 160, 978, 284, 26, 2.0, 1, 0
100B1E, 1, 9, 93, 56, 13, 1, 1, 0
1012DE, 22, 57, 304, 109, 9, 2.0, 1, 0
101492, 27, 153, 933, 287, 17, 1, 1, 0
10168E, 7, 30, 197, 61, 12, 1, 1, 0
102392, 3, 28, 163, 56, 11, 1, 1, 0
102502, 8, 32, 225, 58, 10, 2.0, 1, 0
10274E, 12, 36, 278, 82, 11, 1, 1, 0
10275E, 22, 82, 408, 105, 8, 3, 1, 0
102792, 9, 37, 258, 100, 13, 1, 1, 0
102B96, 8, 31, 318, 68, 11, 1, 2, 0
102FCA, 7, 27, 181, 61, 5, 1, 1, 0
103446, 19, 90, 545, 141, 12, 2.0, 1, 0
10350A, 6, 31, 247, 78, 12, 2.0, 1, 0
10355E, 13, 76, 421, 154, 11, 2.0, 1, 0
1037B6, 12, 24, 202, 61, 10, 2.0, 2, 0
103F82, 8, 36, 253, 65, 10, 1, 1, 0
104016, 24, 108, 671, 228, 17, 2.0, 1, 0
10427E, 16, 57, 251, 78, 9, 2.0, 1, 0
1046DA, 9, 38, 270, 101, 9, 2.0, 1, 0
1052A6, 18, 71, 401, 121, 7, 3, 2, 2
1053FE, 3, 30, 133, 37, 7, 1, 1, 0
10575E, 10, 40, 209, 47, 4, 3, 2, 0
105CFE, 24, 160, 1046, 288, 12, 1, 1, 0
105E2A, 22, 99, 501, 167, 10, 2.0, 1, 0
105F2A, 10, 52, 346, 110, 15, 2.0, 1, 0
106646, 11, 29, 244, 88, 13, 2.0, 1, 0
10681E, 11, 61, 350, 108, 5, 3, 1, 0
106A0A, 4, 21, 150, 65, 7, 2.0, 2, 0
106A56, 12, 61, 246, 77, 7, 3, 1, 0
106C72, 4, 19, 188, 58, 15, 1, 1, 0
10710A, 3, 4, 62, 14, 7, 1, 2, 1
107286, 9, 41, 251, 79, 5, 2.0, 2, 0
10744A, 10, 20, 195, 58, 13, 1, 2, 1
1074AE, 8, 60, 388, 116, 24, 1, 1, 0
107D46, 10, 33, 185, 72, 8, 1, 1, 0
107D76, 2, 6, 104, 23, 9, 1, 1, 0
107DDA, 9, 29, 243, 79, 6, 2.0, 1, 0
107F8E, 5, 28, 217, 70, 24, 1, 1, 0
1081AA, 17, 63, 393, 141, 10, 2.0, 1, 0
108516, 27, 108, 558, 147, 6, 2.0, 1, 0
1085BE, 18, 86, 513, 155, 11, 2.0, 1, 0
