# Tax
id, NOC, NOM, LOC, CC, CCmax, rating, reviewers, disagreement
1005E2, 17, 66, 344, 83, 4, 2.0, 1, 0
10084A, 0, 0, 0, 0, 0, 1, 1, 0
1009BE, 0, 0, 0, 0, 0, 2.0, 1, 0
100A86, 8, 23, 189, 32, 5, 1, 2, 0
100BD6, 0, 0, 0, 0, 0, 1, 2, 0
101296, 0, 0, 0, 0, 0, 1, 1, 0
10135E, 20, 52, 407, 70, 9, 2.0, 1, 0
1013FA, 5, 17, 140, 37, 16, 1, 1, 0
101402, 11, 25, 152, 34, 5, 1, 1, 0
1021DA, 3, 18, 133, 31, 7, 1, 1, 0
10240A, 8, 34, 205, 64, 9, 1, 2, 1
1025CE, 11, 48, 252, 71, 3, 1, 1, 0
102A36, 0, 0, 0, 0, 0, NaN, 0, 0
102B22, 6, 43, 275, 74, 7, 1, 1, 0
102BE6, 7, 36, 210, 48, 4, 1, 1, 0
102DBE, 0, 0, 0, 0, 0, 1, 1, 0
102EE2, 20, 62, 418, 90, 7, 2.0, 1, 0
102F56, 5, 22, 123, 31, 3, 1, 1, 0
102F8E, 15, 29, 225, 48, 7, 2.0, 1, 0
1030AA, 17, 101, 556, 113, 3, 1, 1, 0
10324E, 10, 32, 176, 43, 5, 1, 1, 0
1033FA, 0, 0, 0, 0, 0, 1, 1, 0
103652, 12, 51, 200, 52, 2, 2.0, 1, 0
10365A, 18, 68, 561, 91, 7, 2.0, 1, 0
103B8E, 14, 56, 359, 87, 9, 1, 1, 0
103CBE, 6, 19, 114, 31, 7, 1, 2, 0
103DE6, 0, 0, 0, 0, 0, 1, 1, 0
103E56, 8, 23, 157, 34, 5, 1, 1, 0
103F52, 1, 3, 78, 21, 9, 1, 1, 0
104052, 0, 0, 0, 0, 0, 1, 1, 0
10408E, 9, 36, 318, 59, 8, 2.0, 1, 0
10416A, 13, 43, 228, 59, 6, 2.0, 1, 0
1041DE, 9, 53, 250, 71, 5, 2.0, 1, 0
1043FA, 3, 33, 139, 37, 3, 1, 1, 0
10490E, 0, 0, 0, 0, 0, 2.0, 1, 0
104976, 0, 0, 0, 0, 0, NaN, 0, 0
104A02, 17, 52, 280, 56, 4, 1, 1, 0
104D1E, 22, 88, 638, 174, 18, 3, 2, 1
104FFA, 14, 40, 213, 46, 3, 1, 1, 0
10504E, 0, 0, 0, 0, 0, 2.0, 1, 0
10509A, 0, 0, 0, 0, 0, 1, 1, 0
105132, 9, 61, 363, 110, 13, 1, 2, 1
105396, 0, 0, 0, 0, 0, 1, 1, 0
105462, 10, 39, 361, 61, 7, 1, 1, 0
1057BE, 20, 117, 634, 179, 10, 2.0, 1, 0
105C9E, 2, 11, 105, 24, 7, 1, 2, 0
105CF6, 18, 65, 367, 95, 12, 1, 1, 0
105D1E, 9, 36, 261, 52, 7, 2.0, 1, 0
105E02, 2, 4, 84, 20, 11, 1, 1, 0
105E66, 0, 0, 0, 0, 0, 2.0, 2, 0
105E9A, 14, 55, 279, 81, 5, 2.0, 1, 0
10610A, 8, 20, 88, 23, 4, 2.0, 2, 0
106162, 0, 0, 0, 0, 0, 1, 1, 0
10616E, 8, 38, 174, 44, 4, 1, 1, 0
10617E, 12, 49, 247, 54, 3, 2.0, 1, 0
1061D2, 4, 17, 130, 29, 7, 2.0, 1, 0
10629A, 21, 63, 629, 178, 14, 1, 1, 0
10632E, 13, 46, 218, 53, 2, 2.0, 1, 0
1063EA, 17, 68, 319, 78, 6, 1, 1, 0
10661E, 18, 70, 401, 122, 12, 2.0, 1, 0
10669E, 0, 0, 0, 0, 0, 2.0, 1, 0
10675E, 21, 55, 455, 69, 3, 3, 1, 0
1067AE, 0, 0, 0, 0, 0, 1, 1, 0
106BF6, 0, 0, 0, 0, 0, 2.0, 1, 0
106EE2, 6, 26, 183, 47, 6, 2.0, 2, 0
106F76, 20, 117, 634, 179, 10, NaN, 0, 0
107076, 3, 18, 171, 50, 10, 1, 1, 0
107416, 0, 0, 0, 0, 0, 1, 2, 1
1074EA, 14, 76, 453, 112, 14, 2.0, 1, 0
107726, 9, 24, 192, 31, 3, 1, 1, 0
1077AE, 9, 32, 199, 37, 4, NaN, 0, 0
107D3E, 18, 65, 374, 103, 9, 2.0, 2, 0
108022, 17, 47, 265, 51, 3, 2.0, 1, 0
108142, 16, 72, 342, 83, 6, 2.0, 1, 0
1087E2, 0, 0, 0, 0, 0, 2.0, 1, 0
108C5A, 26, 92, 533, 122, 10, 1, 1, 0
108F72, 12, 42, 240, 57, 7, 2.0, 1, 0
1091C6, 0, 0, 0, 0, 0, 1, 1, 0
10D67A, 5, 12, 147, 28, 11, 1, 2, 0
10E0AE, 8, 36, 298, 83, 14, 1, 2, 0
10E1B6, 17, 54, 233, 80, 8, 2.0, 1, 0
10E2CA, 0, 0, 0, 0, 0, 2.0, 1, 0
10E3EA, 0, 0, 0, 0, 0, 1, 1, 0
10E792, 12, 51, 371, 107, 25, 1, 1, 0
10E8B2, 0, 0, 0, 0, 0, 1, 1, 0
10EB4E, 4, 24, 165, 28, 5, 1, 1, 0
10EBDE, 0, 0, 0, 0, 0, 3, 1, 0
10EEE6, 0, 0, 0, 0, 0, 1, 1, 0
10F06A, 0, 0, 0, 0, 0, 1, 1, 0
10F17A, 8, 33, 259, 53, 8, 1, 1, 0
10F5CA, 21, 94, 436, 120, 5, 2.0, 1, 0
10F71A, 0, 0, 0, 0, 0, 1, 1, 0
10F856, 22, 78, 377, 95, 3, 2.0, 2, 2
10F8F2, 14, 58, 457, 86, 9, 2.0, 2, 0
10FB16, 6, 31, 144, 42, 12, 1, 2, 0
110076, 9, 20, 195, 28, 6, 2.0, 2, 2
1103AE, 13, 68, 463, 156, 11, NaN, 0, 0
11053E, 0, 0, 0, 0, 0, 1, 1, 0
11064E, 10, 44, 201, 52, 4, 1, 1, 0
1106B2, 39, 92, 708, 111, 5, 3, 1, 0
110B4A, 0, 0, 0, 0, 0, 1, 1, 0
110FF2, 0, 0, 0, 0, 0, 2.0, 1, 0
11109E, 2, 6, 72, 15, 5, 1, 1, 0
11130A, 16, 68, 321, 70, 2, 2.0, 1, 0
111352, 13, 48, 333, 88, 7, 1, 1, 0
11143E, 5, 14, 110, 24, 9, 1, 1, 0
1114DE, 15, 49, 499, 117, 11, 1, 1, 0
111736, 0, 0, 0, 0, 0, 2.0, 1, 0
111822, 7, 21, 164, 31, 7, 1, 1, 0
111836, 23, 127, 662, 191, 9, 2.0, 1, 0
111CA2, 8, 27, 225, 40, 7, 1, 1, 0
111D52, 17, 78, 500, 106, 8, 2.0, 2, 0
1120A2, 0, 0, 0, 0, 0, 2.0, 1, 0
11219A, 7, 27, 142, 53, 7, 2.0, 2, 0
11226A, 17, 69, 398, 90, 6, 2.0, 1, 0
1122F6, 9, 30, 138, 34, 3, 2.0, 1, 0
112342, 0, 0, 0, 0, 0, 2.0, 1, 0
1124FE, 0, 0, 0, 0, 0, 1, 1, 0
112C42, 15, 64, 366, 105, 12, 1, 1, 0
112DDA, 3, 16, 113, 27, 3, NaN, 0, 0
112EB2, 32, 121, 531, 135, 3, 2.0, 1, 0
113206, 7, 49, 240, 82, 11, 1, 1, 0
113252, 4, 22, 164, 71, 15, 1, 1, 0
11392E, 0, 0, 0, 0, 0, 1, 1, 0
113A62, 22, 77, 433, 103, 10, 2.0, 2, 0
113D02, 12, 45, 246, 78, 10, 2.0, 2, 0
113D92, 9, 31, 294, 52, 8, 1, 1, 0
11411E, 8, 9, 138, 33, 11, 1, 1, 0
1141C6, 8, 27, 165, 36, 5, 2.0, 1, 0
114E5E, 13, 43, 267, 57, 8, 1, 1, 0
115126, 8, 22, 160, 31, 3, 2.0, 1, 0
1151A2, 20, 60, 353, 101, 12, 2.0, 1, 0
1152FA, 0, 0, 0, 0, 0, 1, 2, 0
11549E, 10, 28, 169, 30, 2, 2.0, 1, 0
115636, 2, 4, 49, 4, 1, 1, 1, 0
11568E, 28, 135, 799, 246, 17, 2.0, 2, 2
115756, 7, 37, 265, 49, 7, 1, 2, 1
115AAA, 33, 93, 654, 123, 8, 3, 1, 0
115AFE, 12, 67, 349, 102, 16, 1, 1, 0
115E7E, 8, 63, 321, 107, 19, 1, 1, 0
1161CA, 0, 0, 0, 0, 0, 1, 1, 0
1162EA, 0, 0, 0, 0, 0, 2.0, 1, 0
11641A, 0, 0, 0, 0, 0, 1, 1, 0
116592, 11, 32, 222, 42, 5, 1, 1, 0
116826, 26, 77, 533, 104, 6, 3, 1, 0
116916, 8, 29, 252, 68, 13, 1, 1, 0
116A36, 15, 45, 226, 58, 8, 1, 1, 0
116B8E, 3, 21, 161, 53, 25, 1, 2, 0
116C26, 21, 41, 260, 53, 5, 3, 1, 0
116CFA, 18, 40, 321, 66, 16, 1, 1, 0
117052, 0, 0, 0, 0, 0, 2.0, 2, 0
11709A, 8, 40, 264, 74, 9, 2.0, 1, 0
1171BA, 0, 0, 0, 0, 0, 1, 1, 0
1172D2, 0, 0, 0, 0, 0, 2.0, 1, 0
1173FE, 3, 17, 101, 32, 8, 1, 1, 0
11751A, 5, 13, 101, 19, 3, 2.0, 1, 0
1175AA, 0, 0, 0, 0, 0, 1, 1, 0
11771E, 21, 75, 392, 99, 6, 2.0, 2, 0
117726, 21, 125, 826, 208, 8, 1, 1, 0
