# Trains
id, NOC, NOM, LOC, CC, CCmax, rating, reviewers, disagreement
10352A, 5, 43, 243, 79, 9, 2.0, 1, 0
103546, 38, 227, 1243, 393, 22, 2.0, 2, 0
1037AA, 9, 52, 497, 196, 35, 1, 1, 0
1039DA, 29, 97, 759, 195, 14, 2.0, 2, 0
103B12, 0, 0, 0, 0, 0, 3, 1, 0
10460E, 27, 108, 622, 242, 15, 1, 2, 0
104612, 27, 108, 622, 242, 15, NaN, 0, 0
1048E6, 23, 84, 513, 153, 11, 3, 1, 0
104DC2, 12, 85, 536, 200, 9, 1, 2, 1
10530E, 22, 86, 612, 184, 18, 2.0, 2, 2
10597E, 17, 112, 743, 262, 10, 2.0, 1, 0
105BA6, 8, 48, 293, 94, 8, 1, 2, 0
105E8E, 3, 12, 141, 24, 10, 1, 2, 0
1067C2, 0, 0, 0, 0, 0, 1, 2, 1
10680E, 27, 115, 793, 249, 29, 1, 2, 0
107B7E, 2, 17, 177, 67, 13, 1, 1, 0
10813E, 18, 102, 587, 152, 6, 2.0, 2, 0
108F16, 10, 33, 295, 115, 22, 2.0, 2, 0
10E802, 15, 109, 605, 196, 7, 1, 2, 1
110026, 10, 88, 397, 136, 7, 3, 1, 0
1102C6, 0, 0, 0, 0, 0, 1, 2, 1
110436, 12, 62, 377, 151, 19, 2.0, 1, 0
110532, 6, 53, 343, 132, 21, 1, 1, 0
111632, 28, 76, 655, 155, 14, 3, 1, 0
111A42, 3, 16, 329, 106, 31, 1, 2, 0
111A56, 6, 52, 475, 169, 12, 2.0, 2, 0
115A52, 32, 179, 942, 277, 10, 1, 2, 1
115B5E, 1, 6, 88, 32, 8, 1, 2, 0
116D7A, 19, 80, 565, 229, 22, 2.0, 2, 0
1170EA, 15, 66, 385, 107, 8, 1, 1, 0
1173F2, 1, 6, 75, 22, 7, 1, 2, 0
117AAE, 16, 65, 552, 161, 15, 1, 1, 0
1193A6, 11, 66, 398, 104, 8, 3, 2, 1
119736, 1, 6, 84, 33, 8, 2.0, 2, 2
11998E, 5, 36, 299, 76, 14, 1, 2, 1
11AE2E, 1, 5, 107, 40, 28, 1, 1, 0
11B2F6, 31, 139, 816, 233, 9, 2.0, 2, 0
11B552, 7, 56, 337, 118, 14, 1, 2, 0
11C3F2, 9, 50, 322, 97, 7, 2.0, 1, 0
120422, 7, 28, 236, 56, 9, 2.0, 2, 0
12079E, 5, 35, 326, 80, 9, 2.0, 2, 0
121CBE, 0, 0, 0, 0, 0, 1, 2, 0
1B41E, 4, 28, 402, 129, 16, 1, 2, 1
1DD5A, 9, 54, 305, 92, 7, 1, 1, 0
1E02E, 17, 81, 483, 136, 11, 3, 2, 1
1FEF6, 8, 75, 456, 160, 17, 3, 2, 0
20182, 6, 29, 241, 86, 20, 2.0, 2, 0
202DA, 21, 93, 494, 148, 8, 2.0, 2, 0
20642, 12, 62, 452, 109, 6, 2.0, 1, 0
232C2, 14, 108, 629, 185, 12, 3, 2, 0
243BA, 5, 38, 189, 59, 10, 3, 1, 0
24B2E, 11, 94, 581, 200, 9, 2.0, 2, 0
26606, 3, 21, 144, 64, 14, 2.0, 2, 0
2E33E, 18, 140, 724, 204, 5, 1, 1, 0
2FA7A, 8, 68, 418, 149, 7, 1, 2, 1
300A2, 4, 32, 263, 88, 11, 1, 1, 0
32BEE, 14, 51, 329, 103, 8, 2.0, 2, 2
367EA, 15, 86, 488, 156, 8, 1, 2, 0
39042, 2, 5, 238, 69, 36, 1, 2, 0
3B076, 3, 14, 313, 68, 14, 1, 2, 0
3B71E, 12, 51, 622, 227, 8, 1, 2, 0
3CE0E, 17, 70, 484, 119, 12, 2.0, 2, 0
3F252, 13, 57, 357, 132, 8, 3, 2, 0
416BE, 5, 29, 328, 89, 19, 2.0, 2, 0
419FA, 14, 54, 375, 132, 14, 2.0, 2, 0
41C36, 19, 112, 455, 146, 5, 3, 1, 0
439FE, 3, 26, 444, 123, 16, 1, 2, 1
44ABA, 12, 63, 524, 169, 13, 3, 2, 1
45052, 1, 8, 116, 41, 11, 1, 1, 0
472A2, 3, 44, 308, 93, 8, 2.0, 2, 0
48866, 7, 31, 279, 86, 15, 1, 2, 0
4B7C2, 6, 40, 328, 110, 10, 1, 2, 0
52FBE, 6, 41, 239, 73, 9, 2.0, 1, 0
53DF6, 17, 75, 494, 120, 9, 1, 2, 0
5676A, 12, 81, 552, 149, 10, 3, 1, 0
